00073Financiera Credinka                 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020240718
01073003999900000004012900000000000000000000000La Pampilla                        Centro Poblado La Pampilla Av. La Pampilla (Daniel Alcides Carrión) N° 273-A (MaJose Luis Bustamante Y Rivero      0000Arequipa                           0040129N000010206968500000000000000000206968505550A2024071800000
01073004999900000004052000000000000000000000000El Pedregal                        Centro Poblado De Servicios Básicos El Pedregal, Manzana H, Lote 4 Sección A    Majes                              0000Caylloma                           0040520N000010206968500000000000000000206968505950A2024071800000
01073006999900000023010100000000000000000000000Tacna I                            Av Pinto N° 334                                                                 Tacna                              0000Tacna                              0230101N000010206968500000000000000000206968506601A2024071800000
01073007999900000021110100000000000000000000000Tupac Amaru                        Calle Túpac Amaru N° 850                                                        Juliaca                            0000San Roman                          0211101N000010206968500000000000000000206968505301A2024071800000
01073008999900000004010300000000000000000000000Cayma                              Av. Cayma N° 614                                                                Cayma                              0000Arequipa                           0040103N000010206968500000000000000000206968504451A2024071800000
01073010999900000004010800000000000000000000000La Joya                            Lote 10, Manzana "H" Del Asentamiento Humano El Triunfo, Sector 1 Zona "A"      La Joya                            0000Arequipa                           0040108N000010206968500000000000000000206968505451A2024071800000
01073013999900000018010100000000000000000000000Moquegua                           Calle Piura N° 142                                                              Moquegua                           0000Mariscal Nieto                     0180101N000010206968500000000000000000206968505803A2024071800000
01073020999900000023011000000000000000000000000Tacna II Santa Rosa                Asoc. Villa Los Claveles Mz S-2 Lt.4                                            Cor. Gregorio Albarracin Lanchipa  0000Tacna                              0230110N000010206968500000000000000000206968506651A2024071800000
01073026999900000021050100000000000000000000000Ilave                              Jr. Mariano Zevallos N° 116 Y 118 Del Barrio Ramón Castilla                     Ilave                              0000El Collao                          0210501N000010206968500000000000000000206968500000A2024071800000
01073027999900000021040200000000000000000000000Desaguadero                        Av. 28 De Julio S/N                                                             Desaguadero                        0000Chucuito                           0210402N000010206968500000000000000000206968504951A2024071800000
01073028999900000021040100000000000000000000000Juli                               Esquina Formada Por La Intersección De La Plaza De Armas Y La Calle Ilave S/N   Juli                               0000Chucuito                           0210401N000010206968500000000000000000206968505201A2024071800000
01073032999900000021030100000000000000000000000Macusani                           Plaza De Armas N° 104                                                           Macusani                           0000Carabaya                           0210301N000010206968500000000000000000206968505701A2024071800000
01073040999900000008010100000000000000000000000Magisterio                         Urb. Quispicanchis J-8 Av La Cultura                                            Cusco                              0000Cusco                              0080101N000010206968500000000000000000206968503001A2024071800000
01073042999900000008010400000000000000000000000San Jeronimo                       Av. De La Cultura Urb, La Cantuta Mz G Lt.5                                     San Jeronimo                       0000Cusco                              0080104N000010206968500000000000000000206968506302A2024071800000
01073044999900000003010400000000000000000000000Curahuasi                          Av. Santa Catalina Del Centro Poblado Curahuasi Mz. B Sub Lote 1-E              Curahuasi                          0000Abancay                            0030104N000010206968500000000000000000206968504800A2024071800000
01073045999900000015013100000000000000000000000San Isidro                         Calle Dioniosio Derteano N°184-188-190 Piso 13                                  San Isidro                         0000Lima                               0150131N000010206968500000000000000000206968502020A2024071800000
01073046999900000008010500000000000000000000000San Sebastian                      Fracción N° F-4-1, Urb. Industrial Cachimayo                                    San Sebastian                      0000Cusco                              0080105N000010206968500000000000000000206968506450A2024071800000
01073047999900000008010400000000000000000000000U. Andina                          Urb. Ingenieron S/N, Larapa Grande                                              San Jeronimo                       0000Cusco                              0080104N000010206968500000000000000000206968506750A2024071800000
01073048999900000003050600000000000000000000000Challhuahuacho                     Calle Sausama S/N Antes Barrio El Salvador                                      Challhuahuacho                     0000Cotabambas                         0030506N000010206968500000000000000000206968504552A2024071800000
01073049999900000008130100000000000000000000000Urubamba                           Calle Bolivar N° 470 - Plaza De Armas Urubamba                                  Urubamba                           0000Urubamba                           0081301N000010206968500000000000000000206968506901A2024071800000
01073050999900000002180100000000000000000000000Chimbote                           Av. Bolognesi N° 428 Manzana N°4, Casco Urbano Central                          Chimbote                           0000Santa                              0021801N000010206968500000000000000000206968504603A2024071800000
01073051999900000008040800000000000000000000000Quebrada                           Esq. Ca. Benjamin Hermoza Y Pantiacolla Asoc. Pro Vivienda Zuñiga-Olorte Del PobYanatile                           0000Calca                              0080408N000010206968500000000000000000206968506102A2024071800000
01073053999900000003020100000000000000000000000Andahuaylas                        Av. Martinelli N° 261                                                           Andahuaylas                        0000Andahuaylas                        0030201N000010206968500000000000000000206968504050A2024071800000
01073055999900000008080100000000000000000000000Espinar                            Av. San Martin N° 317                                                           Espinar                            0000Espinar                            0080801N000010206968500000000000000000206968505001A2024071800000
01073056999900000021020100000000000000000000000Azangaro                           Jr. 9 De Octubre118, Plaza De San Bernardo                                      Azangaro                           0000Azangaro                           0210201N000010206968500000000000000000206968504201A2024071800000
01073058999900000021010100000000000000000000000Puno                               Av. El Sol N°441-443                                                            Puno                               0000Puno                               0210101N000010206968500000000000000000206968506000A2024071800000
01073059999900000021080100000000000000000000000Ayaviri                            Jr. Santa Cruz N°132-136                                                        Ayaviri                            0000Melgar                             0210801N000010206968500000000000000000206968504151A2024071800000
01073060999900000008060100000000000000000000000Sicuani                            Calle 2 De Mayo N° 224                                                          Sicuani                            0000Canchis                            0080601N000010206968500000000000000000206968506550A2024071800000
01073061999900000003010100000000000000000000000Abancay                            Interseccion Calle Miscabamba N° 154 Y 156 Y Parque Micaela Bastidas N° 101     Abancay                            0000Abancay                            0030101N000010206968500000000000000000206968504001A2024071800000
01073065999900000005060100000000000000000000000Puquio                             Jr. Bolognesi, Lote 1"B" Manzana B, Del Centro Poblado Barrio Ccayao            Puquio                             0000Lucanas                            0050601N000010206968500000000000000000206968506052A2024071800000
01073066999900000008030100000000000000000000000Anta                               Jr. Jaquijahuana N°438                                                          Anta                               0000Anta                               0080301N000010206968500000000000000000206968504102A2024071800000
01073067999900000008120100000000000000000000000Urcos                              Jr.Arica Mz. E1 Lt. 5                                                           Urcos                              0000Quispicanchis                      0081201N000010206968500000000000000000206968506800A2024071800000
01073068999900000008070100000000000000000000000Chumbivilcas                       Lote N°35 De La Mz C3 (Primel Nivel)                                            Santo Tomas                        0000Chumbivilcas                       0080701N000010206968500000000000000000206968504701A2024071800000
01073070999900000008010100000000000000000000000Av. El Sol                         Av. El Sol N° 457-479                                                           Cusco                              0000Cusco                              0080101N000010206968500000000000000000206968504851A2024071800000
01073071999900000008090100000000000000000000000Quillabamba                        Jr. Espinar N° 125, 127 Y Parte Del N°133, Lote A                               Santa Ana                          0000Convencion                         0080901N000010206968500000000000000000206968506150A2024071800000
01073072999900000008090800000000000000000000000Santa Teresa                       Av.Calixto Sanchez Mz. D Lt. 16                                                 Santa Teresa                       0000Convencion                         0080908N000010206968500000000000000000206968506502A2024071800000
